GeneOrder	GroupName	GroupProteinFunction	GeneAccession	GeneLink	GeneProteinFunction	IsolateName	IsolateAccession	isIsolate	GroupNameGood	Fence	GenomeAcc	NcbiIsolateName	GenomeOrder	inNewPoxAlign
1	A18	DNA helicase	ADC53997.1	PROT:ADC53997.1	DNA helicase	Pseudocowpox virus	GQ329670	1	1	=	GQ329670.1	VR634	37	Y
1	A18	DNA helicase	ANS71197.1	PROT:ANS71197.1	DNA helicase transcript release factor	Pteropox virus	KU980965	1	1	=	KU980965.1	Australia	40	Y
1	A18	DNA helicase	AAF17991.1	PROT:AAF17991.1	gp108R	Rabbit fibroma virus	AF170722	1	1	=	AF170722.1	Kasza	43	Y
1	A18	DNA helicase	AKJ93767.1	PROT:AKJ93767.1	DNA helicase	Raccoonpox virus	KP143769	1	1	=	KP143769.1	Herman	41	Y
1	A18	DNA helicase	AKR04244.1	PROT:AKR04244.1	DNA or RNA helicases of superfamily II	Salmon gill poxvirus	KT159937	1	1	=	KT159937.1	2012-04-F277-L3G	46	Y
1	A18	DNA helicase	AWU47153.1	PROT:AWU47153.1	DNA helicase	Sea otter poxvirus	MH427217	1	1	=	MH427217.1	ELK	47	Y
1	A18	DNA helicase	ASC55551.1	PROT:ASC55551.1	DNA helicase-like protein	Seal parapoxvirus	KY382358	1	1	=	KY382358.2	AFK76s1	22	Y
1	A18	DNA helicase	NP_659682.1	PROT:NP_659682.1	"DNA helicase, transcritional elongation"	Sheeppox virus	NC_004002.1	1	1	=	NC_004002.1	TU-V02127	44	Y
1	A18	DNA helicase	AOP31616.1	PROT:AOP31616.1	DNA helicase	Skunkpox virus	KU749310	1	1	=	KU749310.1	WA	45	Y
1	A18	DNA helicase	CCD83290.1	PROT:CCD83290.1	transcript release/DNA helicase	Squirrelpox virus	HE601899	1	1	=	HE601899.1	Red squirrel UK	48	Y
1	A18	DNA helicase	AAL69846.1	PROT:AAL69846.1	SPV107 putative DNA helicase transcriptional elongation factor	Swinepox virus	AF410153	1	1	=	AF410153.1	17077-99	49	Y
1	A18	DNA helicase	ABD97706.1	PROT:ABD97706.1	DNA helicase	Taterapox virus	DQ437594	1	1	=	DQ437594.1	Dahomey 1968	50	Y
1	A18	DNA helicase	ALA62507.1	PROT:ALA62507.1	transcriptional elongation DNA helicase	Turkeypox virus	KP728110	1	1	=	KP728110.2	TKPV-HU1124/2011	51	Y
1	A18	DNA helicase	AAO89417.1	PROT:AAO89417.1	DNA helicase	Vaccinia virus WR	AY243312	1	1	=	AY243312.1	WR (Western Reserve)	52	Y
1	A18	DNA helicase	CAA49063.1	PROT:CAA49063.1	A18R	Variola virus major	X69198	1	1	=	X69198.1	"India-1967, ssp. major"	53	Y
1	A18	DNA helicase	CAB54722.1	PROT:CAB54722.1	A19R protein	Variola minor virus	Y16780	1	1	=	Y16780.1	Garcia-1966	54	Y
1	A18	DNA helicase	AOP31827.1	PROT:AOP31827.1	DNA helicase	Volepox virus	KU749311	1	1	=	KU749311.1	CA	55	Y
1	A18	DNA helicase	ATI21056.1	PROT:ATI21056.1		Western grey kangaroopox virus	MF467280	1	1	=	MF467280.1	Western Australia	56	Y
1	A18	DNA helicase	AAR07466.1	PROT:AAR07466.1	110R	Yaba monkey tumor virus	AY386371	1	1	=	AY386371.1	Yaba monkey tumor virus	59	Y
1	A18	DNA helicase	CAC21348.1	PROT:CAC21348.1	110R protein	Yaba-like disease virus	AJ293568	1	1	=	AJ293568.1	Yaba-like disease virus	58	Y
1	A18	DNA helicase	AEN03711.1	PROT:AEN03711.1	DNA helicase	Yokapox virus	HQ849551	1	1	=	HQ849551.1	DakArB 4268	57	Y
2	A22	holliday junction resolvase	CCU55493.1	PROT:CCU55493.1	holliday junction resolvase	Adoxophyes honmai entomopoxvirus 'L'	HF679131	1	1	=	HF679131.1	Tokyo	3	Y
2	A22	holliday junction resolvase	AXN74938.1	PROT:AXN74938.1	holliday junction endonuclease	Akhmeta virus	MH607141	1	1	=	MH607141.1	Akhmeta_2013-88	4	Y
2	A22	holliday junction resolvase	AAG02868.1	PROT:AAG02868.1	AMV162	Amsacta moorei entomopoxvirus	AF250284	1	1	=	AF250284.1	Amsacta moorei entomopoxvirus	5	Y
2	A22	holliday junction resolvase	BAO49463.1	PROT:BAO49463.1	holliday junction resolvase	Anomala cuprea entomopoxvirus	AP013055	1	1	=	AP013055.1	CV6M	2	Y
2	A22	holliday junction resolvase	APG58332.1	PROT:APG58332.1	resolvase A22	BeAn 58058 virus	KY094066	1	1	=	KY094066.1	BeAn58058	7	N
2	A22	holliday junction resolvase	AAR98456.1	PROT:AAR98456.1	ORF099 Holliday junction resolvase	Bovine papular stomatitis virus	AY386265	1	1	=	AY386265.1	BV-AR02	6	Y
2	A22	holliday junction resolvase	AAG37631.1	PROT:AAG37631.1	CMP139R	Camelpox virus CMS	AY009089	1	1	=	AY009089.1	CMS	9	N
2	A22	holliday junction resolvase	AAL73847.1	PROT:AAL73847.1	putative DNA processing protein	Camelpox virus M-96	AF438165	1	1	=	AF438165.1	M-96	8	Y
2	A22	holliday junction resolvase	AAR83607.1	PROT:AAR83607.1	CNPV261 Holliday junction resolvase protein	Canarypox virus	AY318871	1	1	=	AY318871.1	ATCC VR-111	11	Y
2	A22	holliday junction resolvase	CCU55772.1	PROT:CCU55772.1	holliday junction resolvase	Choristoneura biennis entomopoxvirus	HF679132	1	1	=	HF679132.1	Choristoneura biennis entomopoxvirus	10	Y
2	A22	holliday junction resolvase	CCU56074.1	PROT:CCU56074.1	holliday junction resolvase	Choristoneura rosaceana entomopoxvirus 'L'	HF679133	1	1	=	HF679133.1	Choristoneura rosaceana entomopoxvirus 'L'	14	Y
2	A22	holliday junction resolvase	ADT91141.1	PROT:ADT91141.1	Holliday junction resolvase	Cotia virus SPAn232	HQ647181	1	1	=	HQ647181.2	SPAn232	12	Y
2	A22	holliday junction resolvase	AAM13597.1	PROT:AAM13597.1	CPXV155 protein	Cowpox virus	AF482758	1	1	=	AF482758.2	Brighton Red	13	Y
2	A22	holliday junction resolvase	ABI99278.1	PROT:ABI99278.1	holliday junction resolvase	Deerpox virus W-848-83	AY689436	1	1	=	AY689436.1	W-848-83	15	Y
2	A22	holliday junction resolvase	ATI21224.1	PROT:ATI21224.1	Holliday junction resolvase	Eastern grey kangaroopox virus	MF467281	1	1	=	MF467281.1	Sunshine Coast	18	Y
2	A22	holliday junction resolvase	AAM92430.1	PROT:AAM92430.1	EVM125	Ectromelia virus	AF012825	1	1	=	AF012825.2	Moscow	16	Y
2	A22	holliday junction resolvase	AFH54689.1	PROT:AFH54689.1	holliday junction resolvase	Ectromelia virus ERPV	JQ410350	1	1	=	JQ410350.1	ERPV	17	N
2	A22	holliday junction resolvase	ASK51320.1	PROT:ASK51320.1	Holliday junction resolvase	Eptesipox virus	KY747497	1	1	=	KY747497.1	Washington	19	Y
2	A22	holliday junction resolvase	AUD40295.1	PROT:AUD40295.1	Holliday junction resolvase	Flamingopox virus FGPVKD09	MF678796	1	1	=	MF678796.1	FGPVKD09	20	Y
2	A22	holliday junction resolvase	AAF44531.1	PROT:AAF44531.1	ORF FPV187	Fowlpox virus	AF198100	1	1	=	AF198100.1	Fowlpox virus	21	Y
2	A22	holliday junction resolvase	YP_001293305.1	PROT:YP_001293305.1	hypothetical protein GTPV_gp109	Goatpox virus Pellor	NC_004003.1	1	1	=	NC_004003.1	Pellor	23	Y
2	A22	holliday junction resolvase	ABH08249.1	PROT:ABH08249.1	HSPV143	Horsepox virus	DQ792504	1	1	=	DQ792504.1	MNR-76	24	Y
2	A22	holliday junction resolvase	AAK85075.1	PROT:AAK85075.1	LSDV114 hypothetical protein	Lumpy skin disease virus NI-2490	AF325528	1	1	=	AF325528.1	Neethling 2490	25	Y
2	A22	holliday junction resolvase	AAC97652.1	PROT:AAC97652.1	"ORF MSV106 putative vaccinia A22R homolog, similar to SW:P20997"	Melanoplus sanguinipes entomopoxvirus 'O'	AF063866	1	1	=	AF063866.1	Tucson	30	Y
2	A22	holliday junction resolvase	AAC55255.1	PROT:AAC55255.1	MC127R	Molluscum contagiosum virus subtype 1	U60315	1	1	=	U60315.1	Molluscum contagiosum virus subtype 1	26	Y
2	A22	holliday junction resolvase	AAX09229.1	PROT:AAX09229.1	MPXV-COP-128	monkeypox virus clade IIa strain cOP-58	AY753185	1	1	=	AY753185.1	COP-58	28	Y
2	A22	holliday junction resolvase	AAL40591.1	PROT:AAL40591.1	A23R	Monkeypox virus clade I strain Zaire-96-I-16	AF380138	1	1	=	AF380138.1	Zaire-96-I-16	29	Y
2	A22	holliday junction resolvase	AST09333.1	PROT:AST09333.1	holliday junction resolvase	Murmansk poxvirus	MF001304	1	1	=	MF001304.1	LEIV-11411	27	Y
2	A22	holliday junction resolvase	CCU56396.1	PROT:CCU56396.1	holliday junction resolvase	Mythimna separata entomopoxvirus 'L'	HF679134	1	1	=	HF679134.1	Mythimna separata entomopoxvirus 'L'	31	Y
2	A22	holliday junction resolvase	AAF15000.1	PROT:AAF15000.1	m112R	Myxoma virus strain Lausanne	AF170726	1	1	=	AF170726.2	Lausanne	32	Y
2	A22	holliday junction resolvase	AFU77376.1	PROT:AFU77376.1	m112R	Myxoma virus isolate BRK 897	JX565564	1	1	=	JX565564.1	Aust/Brooklands/1-95	33	N
2	A22	holliday junction resolvase	ABJ09036.1	PROT:ABJ09036.1	holliday junction resolvase	Nile crocodilepox virus	DQ356948	1	1	=	DQ356948.1	Nile crocodilepox virus	34	Y
2	A22	holliday junction resolvase	ABA00616.1	PROT:ABA00616.1	resolvase	Orf virus strain NZ2	DQ184476	1	1	=	DQ184476.1	NZ2	36	N
2	A22	holliday junction resolvase	AAR98324.1	PROT:AAR98324.1	ORF099 Holliday junction resolvase	Orf virus strain OV-SA00	AY386264	1	1	=	AY386264.1	OV-SA00	35	Y
2	A22	holliday junction resolvase	AYN64707.1	PROT:AYN64707.1	putative A22R protein	Orthopoxvirus Abatino	MH816996	1	1	=	MH816996.1	Abatino	1	Y
2	A22	holliday junction resolvase	AIZ77350.1	PROT:AIZ77350.1	putative Holliday junction resolvase	Parapoxvirus red deer/HL953	KM502564	1	1	=	KM502564.1	HL953	42	Y
2	A22	holliday junction resolvase	AID46926.1	PROT:AID46926.1	hypothetical protein pepv_200	Penguinpox virus	KJ859677	1	1	=	KJ859677.1	PSan92	39	Y
2	A22	holliday junction resolvase	AID46694.1	PROT:AID46694.1	hypothetical protein fep_192	Pigeonpox virus	KJ801920	1	1	=	KJ801920.1	FeP2	38	Y
2	A22	holliday junction resolvase	ADC54001.1	PROT:ADC54001.1	resolvase	Pseudocowpox virus	GQ329670	1	1	=	GQ329670.1	VR634	37	Y
2	A22	holliday junction resolvase	ANS71201.1	PROT:ANS71201.1	holliday junction resolvase	Pteropox virus	KU980965	1	1	=	KU980965.1	Australia	40	Y
2	A22	holliday junction resolvase	AAF17995.1	PROT:AAF17995.1	gp112R	Rabbit fibroma virus	AF170722	1	1	=	AF170722.1	Kasza	43	Y
2	A22	holliday junction resolvase	AKJ93771.1	PROT:AKJ93771.1	Holliday junction endonuclease	Raccoonpox virus	KP143769	1	1	=	KP143769.1	Herman	41	Y
2	A22	holliday junction resolvase	AKR04248.1	PROT:AKR04248.1	RuvC	Salmon gill poxvirus	KT159937	1	1	=	KT159937.1	2012-04-F277-L3G	46	Y
2	A22	holliday junction resolvase	AWU47157.1	PROT:AWU47157.1	Holliday junction resolvase	Sea otter poxvirus	MH427217	1	1	=	MH427217.1	ELK	47	Y
2	A22	holliday junction resolvase	ASC55548.1	PROT:ASC55548.1	Holliday junction resolvase-like protein	Seal parapoxvirus	KY382358	1	1	=	KY382358.2	AFK76s1	22	Y
2	A22	holliday junction resolvase	NP_659686.1	PROT:NP_659686.1	Holiday junction resolvase	Sheeppox virus	NC_004002.1	1	1	=	NC_004002.1	TU-V02127	44	Y
2	A22	holliday junction resolvase	AOP31620.1	PROT:AOP31620.1	holliday junction resolvase	Skunkpox virus	KU749310	1	1	=	KU749310.1	WA	45	Y
2	A22	holliday junction resolvase	CCD83294.1	PROT:CCD83294.1	Holliday protein resolvase	Squirrelpox virus	HE601899	1	1	=	HE601899.1	Red squirrel UK	48	Y
2	A22	holliday junction resolvase	AAL69850.1	PROT:AAL69850.1	SPV111 putative DNA processing protein	Swinepox virus	AF410153	1	1	=	AF410153.1	17077-99	49	Y
2	A22	holliday junction resolvase	ABD97710.1	PROT:ABD97710.1	Holiday junction resolvase palmitylprotein	Taterapox virus	DQ437594	1	1	=	DQ437594.1	Dahomey 1968	50	Y
2	A22	holliday junction resolvase	ALA62511.1	PROT:ALA62511.1	hypothetical protein	Turkeypox virus	KP728110	1	1	=	KP728110.2	TKPV-HU1124/2011	51	Y
2	A22	holliday junction resolvase	AAO89421.1	PROT:AAO89421.1	palmitylprotein	Vaccinia virus WR	AY243312	1	1	=	AY243312.1	WR (Western Reserve)	52	Y
2	A22	holliday junction resolvase	CAA49067.1	PROT:CAA49067.1	A22R	Variola virus major	X69198	1	1	=	X69198.1	"India-1967, ssp. major"	53	Y
2	A22	holliday junction resolvase	CAB54726.1	PROT:CAB54726.1	A23R protein	Variola minor virus	Y16780	1	1	=	Y16780.1	Garcia-1966	54	Y
2	A22	holliday junction resolvase	AOP31831.1	PROT:AOP31831.1	holliday junction resolvase	Volepox virus	KU749311	1	1	=	KU749311.1	CA	55	Y
2	A22	holliday junction resolvase	ATI21060.1	PROT:ATI21060.1		Western grey kangaroopox virus	MF467280	1	1	=	MF467280.1	Western Australia	56	Y
2	A22	holliday junction resolvase	AAR07470.1	PROT:AAR07470.1	114R	Yaba monkey tumor virus	AY386371	1	1	=	AY386371.1	Yaba monkey tumor virus	59	Y
2	A22	holliday junction resolvase	CAC21352.1	PROT:CAC21352.1	114R protein	Yaba-like disease virus	AJ293568	1	1	=	AJ293568.1	Yaba-like disease virus	58	Y
2	A22	holliday junction resolvase	AEN03715.1	PROT:AEN03715.1	holliday junction resolvase	Yokapox virus	HQ849551	1	1	=	HQ849551.1	DakArB 4268	57	Y
3	A23	VITF-3	CCU55410.1	PROT:CCU55410.1	VITF-3 45kda subunit (Cop-A23R)	Adoxophyes honmai entomopoxvirus 'L'	HF679131	1	1	=	HF679131.1	Tokyo	3	Y
3	A23	VITF-3	AXN74939.1	PROT:AXN74939.1	VITF-3 large subuni	Akhmeta virus	MH607141	1	1	=	MH607141.1	Akhmeta_2013-88	4	Y
3	A23	VITF-3	AAG02797.1	PROT:AAG02797.1	AMV091	Amsacta moorei entomopoxvirus	AF250284	1	1	=	AF250284.1	Amsacta moorei entomopoxvirus	5	Y
3	A23	VITF-3	BAO49550.1	PROT:BAO49550.1	DNA-directed RNA polymerase beta chain	Anomala cuprea entomopoxvirus	AP013055	1	1	=	AP013055.1	CV6M	2	Y
3	A23	VITF-3	APG58333.1	PROT:APG58333.1	intermediate transcription factor 3 large subuni	BeAn 58058 virus	KY094066	1	1	=	KY094066.1	BeAn58058	7	N
3	A23	VITF-3	AAR98457.1	PROT:AAR98457.1	ORF100 intermediate transcription factor VITF-3	Bovine papular stomatitis virus	AY386265	1	1	=	AY386265.1	BV-AR02	6	Y
3	A23	VITF-3	AAG37632.1	PROT:AAG37632.1	CMP140R	Camelpox virus CMS	AY009089	1	1	=	AY009089.1	CMS	9	N
3	A23	VITF-3	AAL73848.1	PROT:AAL73848.1	putative intermediate transcription factor	Camelpox virus M-96	AF438165	1	1	=	AF438165.1	M-96	8	Y
3	A23	VITF-3	AAR83608.1	PROT:AAR83608.1	CNPV262 intermediate transcription factor VITF-3	Canarypox virus	AY318871	1	1	=	AY318871.1	ATCC VR-111	11	Y
3	A23	VITF-3	CCU55716.1	PROT:CCU55716.1	VITF-3 45kda subunit (Cop-A23R)	Choristoneura biennis entomopoxvirus	HF679132	1	1	=	HF679132.1	Choristoneura biennis entomopoxvirus	10	Y
3	A23	VITF-3	CCU56018.1	PROT:CCU56018.1	VITF-3 45kda subunit (Cop-A23R)	Choristoneura rosaceana entomopoxvirus 'L'	HF679133	1	1	=	HF679133.1	Choristoneura rosaceana entomopoxvirus 'L'	14	Y
3	A23	VITF-3	ADT91142.1	PROT:ADT91142.1	viral intermediate transcription factor VITF-3	Cotia virus SPAn232	HQ647181	1	1	=	HQ647181.2	SPAn232	12	Y
3	A23	VITF-3	AAM13598.1	PROT:AAM13598.1	CPXV156 protein	Cowpox virus	AF482758	1	1	=	AF482758.2	Brighton Red	13	Y
3	A23	VITF-3	ABI99279.1	PROT:ABI99279.1	intermediate transcription factor VITF-3	Deerpox virus W-848-83	AY689436	1	1	=	AY689436.1	W-848-83	15	Y
3	A23	VITF-3	ATI21225.1	PROT:ATI21225.1	VITF-3 45kda subuni	Eastern grey kangaroopox virus	MF467281	1	1	=	MF467281.1	Sunshine Coast	18	Y
3	A23	VITF-3	AAM92431.1	PROT:AAM92431.1	EVM126	Ectromelia virus	AF012825	1	1	=	AF012825.2	Moscow	16	Y
3	A23	VITF-3	AFH54690.1	PROT:AFH54690.1	viral intermediate transcription factor 3	Ectromelia virus ERPV	JQ410350	1	1	=	JQ410350.1	ERPV	17	N
3	A23	VITF-3	ASK51321.1	PROT:ASK51321.1	Intermediate transcription factor (VITF-3L)	Eptesipox virus	KY747497	1	1	=	KY747497.1	Washington	19	Y
3	A23	VITF-3	AUD40296.1	PROT:AUD40296.1	intermediate transcription factor 3	Flamingopox virus FGPVKD09	MF678796	1	1	=	MF678796.1	FGPVKD09	20	Y
3	A23	VITF-3	AAF44532.1	PROT:AAF44532.1	"ORF FPV188 Intermediate transcription factor, VITF-3"	Fowlpox virus	AF198100	1	1	=	AF198100.1	Fowlpox virus	21	Y
3	A23	VITF-3	YP_001293306.1	PROT:YP_001293306.1	hypothetical protein GTPV_gp110	Goatpox virus Pellor	NC_004003.1	1	1	=	NC_004003.1	Pellor	23	Y
3	A23	VITF-3	ABH08250.1	PROT:ABH08250.1	HSPV144	Horsepox virus	DQ792504	1	1	=	DQ792504.1	MNR-76	24	Y
3	A23	VITF-3	AAK85076.1	PROT:AAK85076.1	LSDV115 putative intermediate transcription factor subuni	Lumpy skin disease virus NI-2490	AF325528	1	1	=	AF325528.1	Neethling 2490	25	Y
3	A23	VITF-3	AAC97825.1	PROT:AAC97825.1	"ORF MSV052 putative vaccina A23R homolog, similar to SW:P20998"	Melanoplus sanguinipes entomopoxvirus 'O'	AF063866	1	1	=	AF063866.1	Tucson	30	Y
3	A23	VITF-3	AAC55256.1	PROT:AAC55256.1	MC128R	Molluscum contagiosum virus subtype 1	U60315	1	1	=	U60315.1	Molluscum contagiosum virus subtype 1	26	Y
3	A23	VITF-3	AAX09230.1	PROT:AAX09230.1	MPXV-COP-129	monkeypox virus clade IIa strain cOP-58	AY753185	1	1	=	AY753185.1	COP-58	28	Y
3	A23	VITF-3	AAL40592.1	PROT:AAL40592.1	A24R	Monkeypox virus clade I strain Zaire-96-I-16	AF380138	1	1	=	AF380138.1	Zaire-96-I-16	29	Y
3	A23	VITF-3	AST09334.1	PROT:AST09334.1	intermediate transcription factor	Murmansk poxvirus	MF001304	1	1	=	MF001304.1	LEIV-11411	27	Y
3	A23	VITF-3	CCU56312.1	PROT:CCU56312.1	VITF-3 45kda subunit (Cop-A23R)	Mythimna separata entomopoxvirus 'L'	HF679134	1	1	=	HF679134.1	Mythimna separata entomopoxvirus 'L'	31	Y
3	A23	VITF-3	AAF15001.1	PROT:AAF15001.1	m113R	Myxoma virus strain Lausanne	AF170726	1	1	=	AF170726.2	Lausanne	32	Y
3	A23	VITF-3	AFU77377.1	PROT:AFU77377.1	m113R	Myxoma virus isolate BRK 897	JX565564	1	1	=	JX565564.1	Aust/Brooklands/1-95	33	N
3	A23	VITF-3	ABJ09037.1	PROT:ABJ09037.1	intermediate transcription factor VITF-3	Nile crocodilepox virus	DQ356948	1	1	=	DQ356948.1	Nile crocodilepox virus	34	Y
3	A23	VITF-3	ABA00617.1	PROT:ABA00617.1	intermediate transcription factor VITF3	Orf virus strain NZ2	DQ184476	1	1	=	DQ184476.1	NZ2	36	N
3	A23	VITF-3	AAR98325.1	PROT:AAR98325.1	ORF100 intermediate transcription factor VITF-3	Orf virus strain OV-SA00	AY386264	1	1	=	AY386264.1	OV-SA00	35	Y
3	A23	VITF-3	AYN64708.1	PROT:AYN64708.1	putative A23R protein	Orthopoxvirus Abatino	MH816996	1	1	=	MH816996.1	Abatino	1	Y
3	A23	VITF-3	AIZ77351.1	PROT:AIZ77351.1	putative intermediate transcription factor VITF-3	Parapoxvirus red deer/HL953	KM502564	1	1	=	KM502564.1	HL953	42	Y
3	A23	VITF-3	AID46927.1	PROT:AID46927.1	intermediate transcription factor VITF-3	Penguinpox virus	KJ859677	1	1	=	KJ859677.1	PSan92	39	Y
